Date,Open,High,Low,Close
18/02/2011,1.04,1.04,0.7801,0.8989
19/02/2011,0.8989,0.98,0.8376,0.949
20/02/2011,0.949,0.949,0.83,0.85
21/02/2011,0.85,0.8796,0.8313,0.8345
22/02/2011,0.8345,0.95,0.8313,0.8702
23/02/2011,0.8702,0.945,0.8681,0.9
24/02/2011,0.9,1.0,0.9,0.9974
25/02/2011,0.9974,0.9998,0.9111,0.9111
26/02/2011,0.9111,0.97,0.9106,0.958
27/02/2011,0.958,0.958,0.89,0.89
28/02/2011,0.89,0.92,0.845,0.86
01/03/2011,0.86,0.97,0.8502,0.9202
02/03/2011,0.9202,0.94,0.9102,0.9399
03/03/2011,0.9399,0.9399,0.91,0.9391
04/03/2011,0.9391,0.9391,0.9001,0.901
05/03/2011,0.901,0.9189,0.8111,0.9103
06/03/2011,0.9103,0.9098,0.81,0.8999
07/03/2011,0.8999,0.909,0.846,0.885
08/03/2011,0.885,0.885,0.85,0.87
09/03/2011,0.87,0.87,0.85,0.8645
10/03/2011,0.8645,0.9329,0.8497,0.9329
11/03/2011,0.9329,0.925,0.8601,0.88
12/03/2011,0.88,0.9197,0.88,0.918
13/03/2011,0.918,0.918,0.8898,0.8925
14/03/2011,0.8925,0.9,0.88,0.8949
15/03/2011,0.8949,0.8949,0.87,0.87
16/03/2011,0.87,0.88,0.836,0.86
17/03/2011,0.86,0.88,0.81,0.8254
18/03/2011,0.8254,0.8506,0.71,0.8165
19/03/2011,0.8165,0.797,0.7313,0.765
20/03/2011,0.765,0.79,0.7402,0.7411
21/03/2011,0.7411,0.7724,0.7405,0.759
22/03/2011,0.759,0.81,0.7405,0.809
23/03/2011,0.809,0.85,0.78,0.8497
24/03/2011,0.8497,0.9,0.8266,0.8669
25/03/2011,0.8669,0.89,0.861,0.8838
26/03/2011,0.8838,0.905,0.841,0.8552
27/03/2011,0.8552,0.8721,0.8152,0.82
28/03/2011,0.82,0.85,0.76,0.799
29/03/2011,0.799,0.7997,0.7648,0.7925
30/03/2011,0.7925,0.795,0.766,0.7897
31/03/2011,0.7897,0.801,0.768,0.7846
01/04/2011,0.7846,0.797,0.7741,0.7741
02/04/2011,0.7741,0.7998,0.7741,0.782
03/04/2011,0.782,0.7949,0.777,0.779
04/04/2011,0.779,0.785,0.5619,0.68
05/04/2011,0.68,0.7478,0.58,0.71
06/04/2011,0.71,0.75,0.6902,0.74
07/04/2011,0.74,0.7849,0.7205,0.7538
08/04/2011,0.7538,0.799,0.7309,0.75
09/04/2011,0.75,0.7676,0.7205,0.73
10/04/2011,0.73,0.7589,0.71,0.7369
11/04/2011,0.7369,0.799,0.7103,0.77
12/04/2011,0.77,0.899,0.7703,0.86
13/04/2011,0.86,1.0,0.86,0.9225
14/04/2011,0.9225,1.0,0.91,1.0
15/04/2011,1.0,1.09,0.911,0.9899
16/04/2011,0.9899,1.095,0.9541,1.05
17/04/2011,1.05,1.14,1.026,1.112
18/04/2011,1.112,1.2,1.11,1.162
19/04/2011,1.162,1.198,1.144,1.198
20/04/2011,1.198,1.198,1.13,1.142
21/04/2011,1.142,1.21,1.14,1.21
22/04/2011,1.21,1.41,1.189,1.409
23/04/2011,1.409,1.95,1.32,1.7
24/04/2011,1.7,1.95,1.6,1.63
25/04/2011,1.63,1.701,1.521,1.559
26/04/2011,1.559,1.795,1.53,1.795
27/04/2011,1.795,1.95,1.72,1.9
28/04/2011,1.9,2.65,1.66,2.211
29/04/2011,2.211,2.95,2.21,2.88
30/04/2011,2.88,4.15,2.75,3.5
01/05/2011,3.5,3.87,2.5,3.033
